"""ВКонтакте"" - социальная сеть","Поиск людей по их увлечениям, месту учебы и работы, персональным данным и т.д. Возможность создавать и вступать в группы по интересам, прослушивать музыку и смотреть фильмы онлайн.",370000,www.vk.com
"""YouTube"" - видеохостинг","Возможность просмотра и загрузки видеороликов. Поиск видео по категориям, каналам и сообществам.",300000,www.youtube.com
Яндекс - поисковая система и интернет-портал,"Поиск по интернету с учётом региона пользователя. Возможность искать по картинкам, видео, картам, новостям, блогам, товарам и словарям. Бесплатная почта, фотохостинг и другие сервисы.",270000,www.yandex.ru
"""Facebook"" - международная социальная сеть","Поиск людей, одноклассников, однокурсников, коллег и пр. Возможность загружать свои фотографии и видео; создавать заметки; размещать ссылки; общаться в группах по интересам и чате.",210000,www.facebook.com
"""Google"" - поисковая система",Система поиска информации в сети интернет (включая русскоязычный интернет). Возможность поиска картинок и новостей; автоматический перевод англоязычных страниц.,170000,www.google.com
"""Twitter"" - онлайн-сервис для ведения микроблогов",Платформа для обмена короткими сообщениями. Возможность подписки на чужие блоги и чтения их в единой ленте.,160000,www.twitter.com
"""Рамблер Топ100"" - счетчик",Рейтинг ресурсов по посещаемости.,160000,top100.rambler.ru
"""Adobe"" - производитель программного обеспечения","Обзор программных продуктов компании: Acrobat, Photoshop, Illustrator, Flash, Flex и др. Описания и инструкция для пользователей. Интернет-магазин. (на англ. яз.)",80000,www.adobe.com
"""Рейтинг@Mail.Ru"" - рейтинг интернет-ресурсов",Тематический рейтинг ресурсов по категориям. Система статистики для сайтов.,69000,top.mail.ru
"""Mail.ru"" - российский коммуникационный портал","Бесплатный почтовый сервис с неограниченным размером ящика, защитой от спама и вирусов. Социальная сеть, фото- и видеохостинги, поисковая система и др. коммуникационные и развлекательные сервисы.",69000,www.mail.ru
"""Одноклассники.ru"" - социальная сеть","Развлекательная социальная сеть для общения с друзьями, просмотра фильмов и сериалов, прослушивания музыки и многого другого.",60000,www.odnoklassniki.ru
"""Hotlog"" - сервис интернет-статистики","Сервис сбора и обработки статистики посещений интернет-сайтов. Бесплатные и коммерческие инструменты для веб-аналитики, позволяющие оценить эффективность маркетинговых мероприятий.",58000,www.hotlog.ru
"""Google+"" - социальная сеть","Пользователи могут создавать круги общения, размещать записи и фотографии и делиться ими с друзьями, родственниками, коллегами и т.д., общаться в групповом чате и проводить видеовстречи, играть.",56000,plus.google.com
"""uCoz"" - бесплатный хостинг и конструктор сайтов","Система управления сайтом с набором сервисов (гостевые книги, форумы, каталоги, голосования и т.д.). Возможность настройки шаблонов, FTP-доступ и др.",52000,www.ucoz.ru
API продуктов Яндекса,"Инструментарий для вебмастеров и блоггеров: API Фоток, Спеллера, поиска по сайту и др. сервисов, а также виджетная платформа и хостинг JavaScript-библиотек.",51000,api.yandex.ru
"""Живой Журнал"" - сервис онлайн-дневников","Возможность создавать и вести личные дневники с настройками доступа, размещать фотографии, участвовать в сообществах, искать друзей по интересам, одноклассников и т.д.",46000,www.livejournal.com
"""Vimeo"" - видеохостинг","Возможность размещать видеоролики, в т.ч. в высоком разрешении, бесплатно или на платной основе, делиться ими с друзьями по интересам, участвовать в фестивалях и др. проектах Vimeo (на англ. яз.).",39000,www.vimeo.com
"""LiveInternet"" - размещение личных дневников",,32000,www.liveinternet.ru
"""Документы Google"" - офисные приложения онлайн","Возможность загружать, редактировать и создавать новые текстовые документы, электронные таблицы и презентации, организовывать совместный с другими пользователями доступ к ним.",28000,docs.google.com
